,0,1,2,3,4
0,10.20794773,10.95379448,0.389099568,0,2
1,8.761497498,9.184662819,0.309772938,2,4
2,5.360022863,5.909454981,0.194229166,4,7
3,3.13256518,3.441267331,0.223875364,7,10
4,1.769385656,2.251006762,0.305523455,10,13
5,1.787936211,2.250850995,0.220139881,13,16
6,2.301780383,2.579487324,0.234303912,16,19
7,2.309650898,2.69766585,0.245764057,19,22
8,3.671509743,4.213862737,0.257962326,22,25
9,4.818931897,5.743399302,0.333876014,25,28
10,5.585673014,6.11724027,0.288132409,28,31
11,5.448331197,5.923666636,0.300399999,31,34
12,9.81856219,10.36117554,0.296387792,34,37
13,8.811250687,9.345326742,0.248759091,37,40
14,5.444008509,6.227321625,0.368275285,40,43
15,13.2393446,14.02554512,0.385536849,43,45
16,3.24233079,3.803385258,0.360113889,45,47
17,3.83850193,4.668387413,0.421309322,47,49
18,2.955782175,3.97747612,0.347394556,49,51
19,2.938620806,3.755780697,0.357755095,51,53
20,13.23306465,13.93121338,0.397151291,53,55
21,10.54524994,11.31679344,0.330950946,55,57
22,2.603563547,3.42908287,0.375694722,57,59
23,12.4568367,13.15539265,0.284159034,59,61
24,15.08449554,15.67493312,0.318701903,61,64
25,18.31728745,18.68464279,0.241799071,64,68
26,14.29818726,15.0341212,0.296880027,68,71
27,6.718983332,7.380741119,0.407741268,71,74
28,10.37640127,11.2185936,0.338385344,74,77
29,8.750236511,9.127386729,0.179820875,77,80
30,9.320398966,9.752449671,0.274843176,80,83
31,12.24383926,12.92577171,0.329082757,83,85
32,18.91435623,19.83321762,0.471915424,85,87
33,25.23849106,26.06324768,0.401085496,87,89
34,32.84246063,34.03128815,0.584160089,89,91
35,35.26538849,37.02938843,0.597651482,91,93
36,46.17655563,47.18418884,0.582159758,93,95
37,47.51981735,48.81082916,0.530999124,95,97
38,36.86843872,38.0725174,0.457494825,97,99
39,6.221043587,7.227661133,0.433004439,99,101
40,6.77746582,7.206794739,0.249198437,101,105
41,13.34994793,14.0254488,0.364606738,105,109
42,11.64507389,12.14564705,0.294648588,109,113
43,15.67291069,16.07472801,0.376150221,113,117
44,8.608908844,9.277275085,0.301257443,117,122
45,12.37385559,13.18632507,0.366340947,122,127
46,9.585475922,10.16730245,0.350856185,127,130
47,17.94459279,18.65641276,0.431411544,130,133
48,23.08674622,24.23655955,0.578011632,133,136
49,15.80904261,16.54784012,0.342355212,136,139
50,12.8880806,13.82522106,0.443543017,139,141
51,7.534940243,8.130885124,0.398080528,141,143
52,10.57163493,11.29227066,0.431461175,143,146
53,17.104894,18.14404297,0.517547647,146,149
54,15.67008781,16.26906204,0.387461275,149,151
55,7.096150398,7.979950905,0.536389947,151,153
56,4.26955843,5.502550125,0.538374066,153,155
57,5.483146667,6.562455177,0.428936183,155,157
58,3.840719938,4.921996117,0.527118802,157,159
59,1.29515636,2.198531151,0.600417733,159,161
60,1.995248079,2.530821562,0.419386476,161,163
61,1.892481923,2.776133537,0.421021134,163,165
62,3.908116341,4.24913311,0.198796585,165,167
63,1.501514435,1.990646601,0.378813982,167,169
64,3.140472889,3.819504261,0.370016307,0,2
65,2.651486635,3.225697041,0.35281539,2,4
66,5.001382828,5.759311676,0.317885816,4,6
67,4.009815216,4.733664989,0.336305171,6,8
68,3.745530128,4.382724762,0.404105842,8,10
69,4.027403355,4.705190182,0.432555556,10,12
