,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.982114,2.0141954,1.9510432,2.068368,2.0236406,2.1098726,2.0292099,1.9531572,2.0684767,2.0660605,2.0968113,2.033811,1.9517083,2.0365467,2.0418081,1.9955844,2.032428,1.9301817,1.983191,1.9713156
1,0.83520156,0.8604561,0.8760176,0.8138703,0.82091594,0.9520848,0.9742481,0.8316008,0.829591,0.7047278,0.8406577,1.0012728,0.81179625,0.8517884,0.9175965,0.7792594,0.7670468,0.8045613,0.8075627,0.91717374
2,2.149812,2.0651855,2.1282983,2.0730443,2.008932,2.0763376,2.0483334,2.0788748,2.0868206,2.0886552,2.0610425,2.056988,2.0221746,2.0468547,1.9719074,2.1081192,2.0978491,2.0932653,1.9350224,2.1007426
3,2.2089996,2.1491835,2.151342,2.0365884,2.1277683,2.0894282,2.1237478,2.030461,2.1616588,2.011376,2.0871668,2.0495589,2.1544926,2.1359231,2.1009269,2.1570148,2.0679202,2.037233,2.1966097,2.2406511
4,0.62747765,0.7097692,0.68152386,0.6408378,0.790336,0.6245635,0.74434936,0.76838374,0.67172503,0.76551294,0.6439514,0.7350909,0.63675284,0.6592326,0.56703186,0.56814915,0.648165,0.7228332,0.6782979,0.67492914
5,0.09815435,0.08911183,0.12303985,0.099461414,0.08806382,0.13320008,0.017156651,0.040457133,0.08295031,0.10135789,0.018239949,0.17911518,0.15724884,0.17777771,0.032488063,0.13623817,0.14573298,0.10193435,0.08110135,0.07266259
6,1.9962653,1.9594606,2.0520692,2.0306532,2.0666332,1.9331493,2.0351212,1.9353044,1.9903309,1.871184,2.0271444,1.8562734,1.9761865,1.8770086,1.9900686,1.9502772,2.0322347,1.9383323,1.9805772,1.7522194
7,0.5405579,0.5037694,0.53008467,0.664761,0.49659273,0.47511205,0.597302,0.45018616,0.49084803,0.4575842,0.5048726,0.4908917,0.4593476,0.5024697,0.5896824,0.5756472,0.42996562,0.43708202,0.47678667,0.49683902
8,0.13224424,0.096884534,0.08519594,0.21645857,0.09656981,0.051063426,0.15515532,0.17321888,0.19716638,0.14364837,0.11869803,0.14077365,0.12306559,0.07014044,0.07985921,0.10360089,0.09874844,0.23789766,0.12197848,0.29049745
9,0.6750422,0.763606,0.7786884,0.70528924,0.715849,0.7709396,0.8334542,0.6355818,0.7036093,0.72332644,0.7024448,0.62054497,0.7052668,0.7681748,0.658378,0.636504,0.78413427,0.76280725,0.7793057,0.73578054
10,0.5457666,0.48300707,0.57661605,0.42597723,0.5745256,0.5167568,0.5565674,0.4033627,0.6619989,0.4429193,0.5295105,0.40136993,0.5891907,0.4936353,0.591467,0.55481625,0.3960961,0.5309635,0.51153874,0.58435285
11,0.13564779,0.17671995,0.05920664,0.044740517,0.11320407,0.13062194,0.07980631,0.12482576,0.3245353,0.026794333,0.13733588,0.060520466,0.13071394,0.12238593,0.13217741,0.11935553,0.20930333,0.04757857,0.042819653,0.07855978
12,0.3746542,0.57078904,0.4972987,0.4534578,0.38820443,0.5197759,0.5886428,0.5571895,0.51885474,0.6015371,0.77879333,0.5888937,0.5058336,0.44418555,0.34730142,0.4088946,0.5784703,0.55151474,0.3925745,0.51179904
13,0.37833482,0.54520065,0.5000202,0.5621873,0.49801365,0.6387345,0.4487961,0.567668,0.43859172,0.5337575,0.54995805,0.5590044,0.5119005,0.40752956,0.47290283,0.55982876,0.4629251,0.3809902,0.55408925,0.62511075
14,0.19567111,0.20276535,0.1580958,0.17376317,0.08264086,0.08656701,0.05811952,0.17736483,0.22394931,0.15927625,0.17207846,0.25007316,0.11048963,0.26361176,0.19262247,0.12273075,0.06684546,0.05267914,0.078618824,0.1574832
15,0.36275205,0.34384736,0.33563444,0.3779704,0.4822678,0.4382583,0.35286337,0.29856634,0.36037952,0.42989472,0.4551688,0.24007231,0.18176182,0.3878836,0.3293321,0.38892204,0.28161752,0.3741638,0.38392672,0.22727257
16,0.5969897,0.54128873,0.42149416,0.45742664,0.5841791,0.47475293,0.5037584,0.4935892,0.5991905,0.6791263,0.6275016,0.5203079,0.5749434,0.43536273,0.57075375,0.49234346,0.42111772,0.61222726,0.5785924,0.5803395
17,0.19215053,0.34029767,0.20901632,0.20232113,0.1578392,0.14321232,0.37382084,0.13755907,0.1572003,0.28339845,0.21631862,0.07057398,0.1415163,0.18388098,0.19599177,0.14966735,0.2167614,0.12893282,0.24333267,0.19820204
18,0.23661888,0.22710519,0.2752657,0.121015385,0.15392864,0.20020606,0.29983577,0.21682908,0.20730543,0.28274193,0.25201526,0.42852885,0.25539508,0.342941,0.10467844,0.29815724,0.2952607,0.36433953,0.2638921,0.30252215
19,0.523205,0.41595608,0.5203406,0.59662527,0.44601914,0.43714735,0.52652794,0.5698554,0.4992932,0.62939984,0.43757385,0.45307842,0.43076798,0.47429758,0.3369496,0.35160995,0.5955528,0.5210368,0.5409539,0.43228835
20,0.2142182,0.24891123,0.23926799,0.22987448,0.26369166,0.1344774,0.060786065,0.13832462,0.24344614,0.13766493,0.23719057,0.21164979,0.07876906,0.09561306,0.2113052,0.16698802,0.15037043,0.17216378,0.22619618,0.22988142
21,0.19833636,0.17302656,0.20088136,0.40738785,0.34643564,0.17047271,0.093143135,0.26726076,0.2600148,0.1881468,0.13415536,0.24376023,0.27636284,0.2723725,0.25239655,0.1451852,0.22064103,0.16437125,0.27391076,0.27633706
22,0.52706873,0.5806304,0.53496003,0.54459566,0.39052126,0.5310417,0.6337197,0.37851393,0.6144977,0.4274265,0.5074973,0.4479527,0.5001588,0.58652663,0.5591472,0.49547094,0.46656027,0.5181355,0.62805516,0.5024737
23,0.14371097,0.08239192,0.17538255,0.16767442,0.032747004,0.28871563,0.2546248,0.06408572,0.1994499,0.21573992,0.086695865,0.20075667,0.26516357,0.1261612,0.32803178,0.18462087,0.15657653,0.24788181,0.17931981,0.10373199
24,0.8339635,0.86564916,0.8059919,0.83087105,0.86238754,0.879242,0.81901324,0.8428956,0.9438003,0.85559577,0.94059414,0.8441591,0.9439769,1.0055962,0.8775006,1.0245656,0.89869356,0.8280094,0.8871828,0.89532906
25,0.63747245,0.7043626,0.77083236,0.92655283,0.87572205,0.7205442,0.78338194,0.67626446,0.6468961,0.7055208,0.871062,0.64801484,0.7410442,0.7258887,0.79704726,0.75565714,0.7959696,0.87054956,0.7538419,0.9194164
26,0.09479266,0.28084782,0.17345771,0.09847583,0.35708848,0.06432531,0.22345437,0.17076942,0.1830154,0.24812496,0.21106504,0.2022646,0.12832524,0.25178683,0.2385269,0.17275989,0.18434705,0.103853755,0.1255535,0.17744651
27,1.4131467,1.3105307,1.3865823,1.4069031,1.329692,1.1382054,1.3592798,1.3957506,1.308765,1.2160797,1.4111605,1.3859684,1.2345487,1.32956,1.3351458,1.5244532,1.3955625,1.3331963,1.3247458,1.3158623
28,2.3233647,2.3046532,2.3851898,2.4736888,2.5349543,2.3919752,2.309451,2.4599411,2.3476706,2.297717,2.4436986,2.310178,2.466683,2.3033137,2.4877326,2.428275,2.295561,2.2632875,2.399271,2.418915
29,0.12228588,0.07056921,0.09041072,0.20492537,0.15241016,0.037624247,0.09496863,0.11073563,0.14915682,0.061591726,0.03567906,0.18551993,0.13631831,0.12832867,0.1768911,0.19667198,0.043428507,0.14084883,0.18463252,0.22562529
30,0.25365397,0.4745353,0.33471915,0.28489432,0.31271017,0.38570324,0.26412594,0.29213387,0.27914694,0.47352073,0.32954344,0.3052786,0.39280292,0.34653458,0.32778952,0.28667068,0.21925429,0.3194381,0.36565748,0.47513533
31,2.1437593,2.302309,2.345905,2.1778307,2.06496,2.3633296,2.2243242,2.2514548,2.1965864,2.2063146,2.2706745,2.26489,2.2986007,2.1843612,2.2662694,2.2341692,2.287666,2.1571162,2.2005072,2.2576714
32,0.058820322,0.20605876,0.21735269,0.1684178,0.17064004,0.14296308,0.1507242,0.19517519,0.0879485,0.058598798,0.116011836,0.040787365,0.058268275,0.11812116,0.10121636,0.123860344,0.06433571,0.120205395,0.10250118,0.19736007
