,0,1,2,3,4
0,1.3673715591430664,1.4334237575531006,0.04704634100198746,0.0,2.0
1,2.036417007446289,2.0904078483581543,0.04013736546039581,2.0,4.0
2,0.8332703908284506,0.9130816459655762,0.03092586249113083,4.0,7.0
3,0.4174034595489502,0.4560328722000122,0.03225738803545634,7.0,10.0
4,0.3080585201581319,0.38076599438985187,0.04705692330996195,10.0,13.0
5,0.26805063088734943,0.3368924061457316,0.03783213843901952,13.0,16.0
6,0.2602543830871582,0.330597718556722,0.04114260276158651,16.0,19.0
7,0.2212610642115275,0.29989782969156903,0.04556880394617716,19.0,22.0
8,0.4284984270731608,0.5260572036107382,0.04674010972181956,22.0,25.0
9,0.6410249869028727,0.7645243008931478,0.050672496358553566,25.0,28.0
10,0.852747917175293,0.9486231803894043,0.04444237550099691,28.0,31.0
11,0.8248416582743326,0.8988166650136312,0.04335457583268484,31.0,34.0
12,1.4369147618611653,1.5132538477579753,0.04456547896067301,34.0,37.0
13,1.2160465717315674,1.2947769165039062,0.03450918694337209,37.0,40.0
14,0.6938188076019287,0.7956485748291016,0.05307340621948242,40.0,43.0
15,1.9585927724838257,2.0579230785369873,0.05682307854294777,43.0,45.0
16,0.35190463066101074,0.44409123063087463,0.059038903564214706,45.0,47.0
17,0.39431461691856384,0.5210050940513611,0.05761023238301277,47.0,49.0
18,0.2654310464859009,0.43819743394851685,0.058858681470155716,49.0,51.0
19,0.2784559428691864,0.38417473435401917,0.05077941343188286,51.0,53.0
20,1.959600567817688,2.057767868041992,0.05632641166448593,53.0,55.0
21,1.5172640085220337,1.6222299337387085,0.046118780970573425,55.0,57.0
22,0.34853827953338623,0.49588316679000854,0.07221635431051254,57.0,59.0
23,2.3157708644866943,2.4321322441101074,0.04047198221087456,59.0,61.0
24,2.9294954935709634,3.0115432739257812,0.04211156566937765,61.0,64.0
25,3.508100986480713,3.6403648853302,0.0451568141579628,64.0,68.0
26,2.8869431813557944,2.9929892222086587,0.04757725199063619,68.0,71.0
27,0.6937463283538818,0.8379646142323812,0.07327986756960551,71.0,74.0
28,1.43088165918986,1.575320561726888,0.0661173661549886,74.0,77.0
29,1.9412614504496257,2.009063720703125,0.052053868770599365,77.0,80.0
30,3.091772715250651,3.2164761225382485,0.07891270021597545,80.0,83.0
31,3.700488805770874,3.856349229812622,0.08074276149272919,83.0,85.0
32,4.767294883728027,4.932019233703613,0.08249721676111221,85.0,87.0
33,5.64177131652832,5.765559673309326,0.06605882197618484,87.0,89.0
34,6.502775192260742,6.670840263366699,0.08501298725605011,89.0,91.0
35,6.569189071655273,6.848433017730713,0.0941421315073967,91.0,93.0
36,7.817235946655273,7.959527492523193,0.083275705575943,93.0,95.0
37,7.274997711181641,7.474755764007568,0.07866962254047394,95.0,97.0
38,5.1655354499816895,5.346155643463135,0.07279949635267258,97.0,99.0
39,1.2950633764266968,1.4317320585250854,0.06256497651338577,99.0,101.0
40,1.3220994472503662,1.395146131515503,0.04297291859984398,101.0,105.0
41,2.3194260597229004,2.44883394241333,0.06246105954051018,105.0,109.0
42,2.00407075881958,2.0714218616485596,0.04796247556805611,109.0,113.0
43,2.4454305171966553,2.515950918197632,0.05892203375697136,113.0,117.0
44,1.8117559432983399,1.889188575744629,0.04431652426719666,117.0,122.0
45,2.8446653366088865,2.987233352661133,0.06835159659385681,122.0,127.0
46,2.652984619140625,2.809714953104655,0.09023919701576233,127.0,130.0
47,4.214084625244141,4.327856063842773,0.06052116056283315,130.0,133.0
48,4.918480555216472,5.077065149943034,0.087156077226003,133.0,136.0
49,2.5850281715393066,2.6840476989746094,0.05087512234846751,136.0,139.0
50,2.2598464488983154,2.3795742988586426,0.05939975008368492,139.0,141.0
51,1.27104651927948,1.37646484375,0.056965261697769165,141.0,143.0
52,1.6846872965494792,1.7820531527201335,0.06841987868150075,143.0,146.0
53,2.503286679585775,2.658864657084147,0.07720135649045308,146.0,149.0
54,2.53482985496521,2.634042978286743,0.06315748393535614,149.0,151.0
55,1.1200323104858398,1.2611474990844727,0.08851009607315063,151.0,153.0
56,0.597059428691864,0.7544434070587158,0.08065284788608551,153.0,155.0
57,0.7389078140258789,0.9045718908309937,0.06770410388708115,155.0,157.0
58,0.6471426486968994,0.7974410057067871,0.07475366443395615,157.0,159.0
59,0.18850788474082947,0.32126501202583313,0.08967991173267365,159.0,161.0
60,0.161211758852005,0.26348286867141724,0.056033145636320114,161.0,163.0
61,0.3929605484008789,0.5491378307342529,0.07745426148176193,163.0,165.0
62,0.38685745000839233,0.4667664170265198,0.03387897089123726,165.0,167.0
63,0.3575899302959442,0.5182552337646484,0.0808989405632019,167.0,169.0
64,0.27835848927497864,0.37593892216682434,0.05072563514113426,0.0,2.0
65,0.28368857502937317,0.3715741038322449,0.07074892520904541,2.0,4.0
66,0.5438845157623291,0.6456654667854309,0.04857172816991806,4.0,6.0
67,0.5694441795349121,0.701316237449646,0.06021130830049515,6.0,8.0
68,0.5421936511993408,0.6475893259048462,0.065522201359272,8.0,10.0
69,0.48017066717147827,0.5960632562637329,0.06685762107372284,10.0,12.0
