,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,11.420272,11.230092,11.25599,11.168917,11.237957,11.218728,11.558515,11.214293,11.998126,11.736486,11.591532,11.735123,11.383144,11.067469,11.743337,11.321147,11.175601,11.054065,11.617054,11.596516
1,9.999832,10.72024,10.919213,10.455799,10.220591,11.407379,11.595436,10.33956,10.185432,9.192208,10.871504,11.7188015,10.429288,10.828798,11.20695,10.034212,9.240294,9.810731,9.9482355,10.702951
2,10.450512,9.878456,10.318794,9.879229,9.460542,9.8518305,9.682823,10.035885,10.053374,10.15811,9.872873,9.663665,9.539287,9.720678,9.14726,10.175658,10.219678,10.019221,8.653565,10.02817
3,9.290075,8.856655,8.890402,8.040106,8.565358,8.347615,8.569996,7.861574,8.731613,7.75859,8.373156,7.9181137,8.7261305,8.593545,8.375734,8.833362,8.107964,8.158568,9.065107,9.513195
4,2.4873374,3.0639262,2.7932332,2.5006104,3.5042686,2.5906518,3.1664963,3.509143,2.7302532,3.3510854,2.7699437,3.1283069,2.5122097,3.0825808,2.5255847,2.506988,2.8437924,3.0557606,2.7764387,2.7796967
5,0.62068653,0.67345995,0.9333118,0.63214254,0.62608325,0.99037766,0.079637766,0.33089623,0.66546786,0.732027,0.15862931,1.2333034,1.0408115,1.1570632,0.30015314,1.0453249,0.9648763,0.63869077,0.5603019,0.65736514
6,14.324121,14.130116,14.796583,14.583168,14.948722,13.945018,14.704452,13.807079,14.374061,13.493023,14.533689,13.389757,14.176725,13.540591,14.299278,14.108275,14.689825,14.076093,14.284743,12.643007
7,3.4688258,3.278779,3.3529105,4.422113,3.2527568,3.0311599,3.7744613,2.9382458,3.7317872,3.159322,3.2455986,3.083402,3.4058971,3.231788,3.7091794,3.5586605,2.8346052,2.9998155,3.4046843,3.6537724
8,0.91812,0.6891035,0.5872652,1.4733773,0.6433269,0.38601452,1.0798869,1.1958352,1.3421373,0.9894049,0.89897335,1.0069771,0.84753287,0.39779794,0.48564386,0.6809224,0.6525098,1.558066,0.8559474,1.9317487
9,5.7229643,6.2541947,6.4895387,5.8518014,5.943935,6.3947506,6.5707808,5.474167,5.805636,6.0602617,5.9781322,5.3073173,5.9238095,6.3909526,5.5380154,5.4834194,6.451823,6.1605806,6.451688,6.063905
10,3.8449442,3.4945388,4.124671,3.222992,4.153697,3.8170898,4.035527,3.1813283,4.445948,3.353642,3.810312,3.2030334,4.1914663,3.4995937,4.2689843,4.018903,3.132967,3.8122253,3.6073344,3.9949603
11,0.7066464,1.074111,0.3183057,0.2450926,0.7605058,0.906037,0.40920871,0.78294855,2.1396317,0.12564677,0.8809383,0.35325354,0.7643007,0.6768824,0.77214974,0.6898596,1.381289,0.5319477,0.2786749,0.65673715
12,1.577183,2.4782598,2.0660958,1.8400726,2.0695076,2.2401278,2.8170736,2.4196515,2.406075,2.610159,4.116798,2.67527,2.1141934,1.8910558,1.3725922,1.9352467,2.7871947,2.4128847,1.4884391,2.0742128
13,3.5587702,4.2110987,4.0656915,4.51608,3.978667,4.887162,3.7475011,4.5389404,3.6934197,4.276927,4.5809655,4.459567,4.060125,3.5184512,4.086002,4.4161377,3.814231,3.454437,4.406351,4.842557
14,1.1969047,1.2542318,0.90300167,0.99946934,0.36953217,0.5412407,0.19848612,0.89756227,1.3394736,0.7844126,1.3411063,1.5451126,0.46917954,1.6413846,1.0739695,0.56875926,0.41930246,0.16018122,0.3266225,0.9133394
15,1.7611781,1.6856537,1.5344343,1.7023389,2.0739126,2.2882228,1.9119217,1.4426425,1.863136,2.103336,2.126451,1.3477197,1.4867328,1.8283029,1.5373524,1.8751283,1.524221,1.7491906,1.7972459,1.3555825
16,5.1582932,4.7992496,4.0632334,4.27405,5.395479,4.6880975,4.822415,4.6695256,5.318454,6.0650005,5.358028,4.7998776,4.9680266,4.1522117,5.1020722,4.8100953,4.171341,5.059127,4.9899607,5.147207
17,1.0310459,2.0286603,1.1873829,1.1643344,0.9330795,0.8690905,2.4330008,0.6750633,1.1098616,1.7011714,1.1840967,0.49244887,0.61571455,0.8934129,1.1417793,0.6169051,1.5266001,0.6198538,1.5307851,1.0186455
18,1.7897782,1.5824673,1.683197,1.5113283,1.5740763,1.610066,1.8443192,1.5607522,1.5763047,1.6676716,1.6289549,2.2860808,1.5987806,1.9057119,1.5375885,1.7556515,1.6690842,2.0847843,1.6101964,1.7077701
19,5.5558443,4.941258,5.3726177,5.6785865,5.0363164,4.9224596,5.1956415,5.6978445,5.4138904,6.0882154,4.7974586,4.8217087,4.7272124,5.004431,4.2064695,4.355541,5.8755803,5.5069284,5.531518,4.6771474
